someNumber,someResult
52.06077146,59.27608653
43.2103735,49.78383328
67.59096891,75.8123416
79.06509799,87.9569537
76.57906971,85.3300165
12.5589801,16.10284523
89.96238214,99.44723228
36.70616075,42.76472169
81.5655914,90.59695849
96.81945455,106.6591423
57.32822542,64.89976591
61.25508436,69.08164711
34.50957832,40.38406369
21.7877716,26.45550891
22.29817234,27.0202664
75.31476034,83.99316805
65.71777721,73.8244274
69.09697869,77.40943794
33.47356291,39.25919709
14.49282408,18.29976827
16.77920179,20.87544418
69.05199757,77.36175073
68.71061121,76.99979762
45.38158809,52.11817388
41.05228177,47.45948723
20.66814175,25.21436455
17.69366832,21.90005255
7.380151887,10.09679538
74.67576353,83.3172775
95.48769753,105.2594782
55.58634682,63.041972
21.51500944,26.15343692
24.6765533,29.64410334
35.78583177,41.7679578
23.06576811,27.86845153
18.68942449,23.01255119
78.85817741,87.7383901
32.94465788,38.6844016
41.39330806,47.8270712
34.50166845,40.37548054
63.15869658,71.10594117
7.038925276,9.692022575
44.89616729,51.59662752
77.43034921,86.22980085
66.06808691,74.19631469
46.15651744,52.95037624
91.47175654,101.0358434
2.41835461,3.97346059
71.60649363,80.06855565
40.62534708,46.9991487
60.06915348,67.81958273
45.23312714,51.9586849
66.13826048,74.27080378
74.50016389,83.13151164
75.25252685,83.92734828
91.14030948,100.6870529
83.91170093,93.07203394
87.37867674,96.72633295
47.52120549,54.4147681
18.71821513,23.04467039
7.614523144,10.37396569
45.33494543,52.06806844
50.85244468,57.98353469
96.79133512,106.6295939
63.85570893,71.84668565
91.24402298,100.7961967
39.76155579,46.06723226
81.07398833,90.07809785
91.61677875,101.1884442
69.73541757,78.08619104
28.6389434,33.99047995
70.02557552,78.39370408
57.19136067,64.75385766
63.37889326,71.33997945
66.20599038,74.34269674
33.11656972,38.87126951
99.15974747,109.1176462
36.82276456,42.89094094
24.49842,29.44800787
96.44882246,106.2696586
82.82935138,91.93041458
42.33870092,48.84552049
78.27328099,87.12049982
4.460426201,6.572398313
85.73039294,94.98946378
80.91591332,89.91124062
61.29032424,69.11913796
61.37729177,69.21165785
30.20801581,35.70419774
38.10649505,44.2795409
18.07623671,22.32785249
89.18957834,98.63360175
69.62123385,77.9651678
26.96729259,32.16029679
76.57055025,85.32101026
30.99346749,36.56064518
66.89329765,75.07212995
76.9594684,85.73212299
41.27360513,47.69805881
